,Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation
14936,,76.0,,340.0,,202.0,7.25
14937,0.0,76.0,109.0,340.0,15.25,197.0,7.25
14938,0.0,76.0,109.0,338.0,15.25,197.0,7.25
14939,0.0,79.0,105.0,320.0,13.75,244.0,7.125
14940,0.0,79.0,105.0,306.0,13.625,267.0,7.0
14941,0.0,79.0,105.0,294.0,13.625,288.0,7.0
14942,0.0,78.0,105.0,294.0,13.5,287.0,8.0
14943,0.0,78.0,105.0,296.0,13.5,283.0,8.0
14944,0.0,76.0,109.0,294.0,14.125,280.0,8.375
14945,0.0,76.0,109.0,298.0,14.125,277.0,8.375
14946,0.0,76.0,109.0,302.0,14.125,266.0,8.375
14947,0.0,74.0,116.0,306.0,14.5,259.0,8.625
14948,0.0,74.0,117.0,310.0,14.375,254.0,8.5
14949,0.0,75.0,116.0,306.0,14.5,261.0,8.5
14950,0.0,75.0,117.0,306.0,14.5,268.0,8.375
14951,0.0,76.0,116.0,304.0,14.25,276.0,8.25
14952,1.0,76.0,116.0,302.0,14.0,287.0,8.0
14953,1.0,76.0,116.0,302.0,13.875,293.0,8.0
14954,1.0,76.0,115.0,300.0,14.0,293.0,8.0
14955,1.0,76.0,114.0,300.0,14.0,290.0,8.125
14956,0.0,76.0,114.0,306.0,14.125,282.0,8.0
14957,0.0,76.0,114.0,308.0,14.5,275.0,8.125
14958,0.0,76.0,114.0,310.0,14.75,270.0,8.375
14959,0.0,74.0,114.0,314.0,14.875,271.0,8.625
14960,0.0,74.0,114.0,318.0,14.875,271.0,8.625
14961,0.0,73.0,115.0,320.0,15.0,272.0,8.5
14962,0.0,73.0,115.0,324.0,15.0,269.0,8.5
14963,0.0,73.0,115.0,328.0,15.0,269.0,8.5
14964,0.0,73.0,116.0,328.0,15.125,269.0,8.625
14965,0.0,73.0,116.0,328.0,15.25,269.0,8.625
14966,0.0,73.0,115.0,328.0,15.375,268.0,8.5
14967,0.0,73.0,115.0,328.0,15.5,267.0,8.5
14968,0.0,73.0,115.0,328.0,15.5,269.0,8.5
14969,0.0,73.0,115.0,326.0,15.75,272.0,8.625
14970,0.0,73.0,115.0,326.0,15.5,277.0,8.625
14971,0.0,73.0,115.0,326.0,15.0,279.0,8.625
14972,0.0,74.0,115.0,326.0,15.25,277.0,8.5
14973,0.0,74.0,115.0,324.0,15.25,278.0,8.5
14974,0.0,74.0,115.0,324.0,15.25,278.0,8.5
14975,0.0,74.0,115.0,324.0,14.875,280.0,8.5
14976,0.0,74.0,115.0,328.0,14.875,280.0,8.5
14977,0.0,74.0,114.0,328.0,15.0,278.0,8.0
14978,0.0,74.0,114.0,328.0,15.375,277.0,8.0
14979,0.0,73.0,112.0,328.0,15.125,273.0,8.0
14980,0.0,73.0,111.0,336.0,15.125,273.0,8.0
14981,0.0,74.0,111.0,338.0,14.875,279.0,7.75
14982,0.0,74.0,111.0,338.0,15.0,292.0,7.625
14983,0.0,74.0,111.0,336.0,15.0,301.0,7.625
14984,0.0,74.0,109.0,336.0,14.5,313.0,7.625
14985,1.0,76.0,108.0,332.0,14.125,331.0,7.375
14986,1.0,78.0,108.0,322.0,13.875,350.0,7.375
14987,1.0,78.0,107.0,322.0,13.75,354.0,7.375
14988,2.0,78.0,107.0,304.0,13.75,358.0,7.375
14989,1.0,79.0,108.0,298.0,14.0,366.0,7.625
14990,1.0,79.0,108.0,288.0,14.5,371.0,7.75
